Emotions,Path
neutral,archive/audio_speech_actors_01-24/Actor_01/03-01-01-01-01-01-01.wav
neutral,archive/audio_speech_actors_01-24/Actor_01/03-01-01-01-01-02-01.wav
neutral,archive/audio_speech_actors_01-24/Actor_01/03-01-01-01-02-01-01.wav
neutral,archive/audio_speech_actors_01-24/Actor_01/03-01-01-01-02-02-01.wav
calm,archive/audio_speech_actors_01-24/Actor_01/03-01-02-01-01-01-01.wav
calm,archive/audio_speech_actors_01-24/Actor_01/03-01-02-01-01-02-01.wav
calm,archive/audio_speech_actors_01-24/Actor_01/03-01-02-01-02-01-01.wav
calm,archive/audio_speech_actors_01-24/Actor_01/03-01-02-01-02-02-01.wav
calm,archive/audio_speech_actors_01-24/Actor_01/03-01-02-02-01-01-01.wav
calm,archive/audio_speech_actors_01-24/Actor_01/03-01-02-02-01-02-01.wav
calm,archive/audio_speech_actors_01-24/Actor_01/03-01-02-02-02-01-01.wav
calm,archive/audio_speech_actors_01-24/Actor_01/03-01-02-02-02-02-01.wav
happy,archive/audio_speech_actors_01-24/Actor_01/03-01-03-01-01-01-01.wav
happy,archive/audio_speech_actors_01-24/Actor_01/03-01-03-01-01-02-01.wav
happy,archive/audio_speech_actors_01-24/Actor_01/03-01-03-01-02-02-01.wav
happy,archive/audio_speech_actors_01-24/Actor_01/03-01-03-02-01-01-01.wav
happy,archive/audio_speech_actors_01-24/Actor_01/03-01-03-02-01-02-01.wav
happy,archive/audio_speech_actors_01-24/Actor_01/03-01-03-02-02-01-01.wav
happy,archive/audio_speech_actors_01-24/Actor_01/03-01-03-02-02-02-01.wav
sad,archive/audio_speech_actors_01-24/Actor_01/03-01-04-01-01-01-01.wav
sad,archive/audio_speech_actors_01-24/Actor_01/03-01-04-01-01-02-01.wav
sad,archive/audio_speech_actors_01-24/Actor_01/03-01-04-01-02-01-01.wav
sad,archive/audio_speech_actors_01-24/Actor_01/03-01-04-01-02-02-01.wav
sad,archive/audio_speech_actors_01-24/Actor_01/03-01-04-02-01-01-01.wav
sad,archive/audio_speech_actors_01-24/Actor_01/03-01-04-02-01-02-01.wav
sad,archive/audio_speech_actors_01-24/Actor_01/03-01-04-02-02-01-01.wav
sad,archive/audio_speech_actors_01-24/Actor_01/03-01-04-02-02-02-01.wav
angry,archive/audio_speech_actors_01-24/Actor_01/03-01-05-01-01-01-01.wav
angry,archive/audio_speech_actors_01-24/Actor_01/03-01-05-01-02-01-01.wav
angry,archive/audio_speech_actors_01-24/Actor_01/03-01-05-01-02-02-01.wav
angry,archive/audio_speech_actors_01-24/Actor_01/03-01-05-02-01-01-01.wav
angry,archive/audio_speech_actors_01-24/Actor_01/03-01-05-02-01-02-01.wav
angry,archive/audio_speech_actors_01-24/Actor_01/03-01-05-02-02-01-01.wav
angry,archive/audio_speech_actors_01-24/Actor_01/03-01-05-02-02-02-01.wav
fear,archive/audio_speech_actors_01-24/Actor_01/03-01-06-01-01-01-01.wav
fear,archive/audio_speech_actors_01-24/Actor_01/03-01-06-01-01-02-01.wav
fear,archive/audio_speech_actors_01-24/Actor_01/03-01-06-01-02-01-01.wav
fear,archive/audio_speech_actors_01-24/Actor_01/03-01-06-01-02-02-01.wav
fear,archive/audio_speech_actors_01-24/Actor_01/03-01-06-02-01-01-01.wav
fear,archive/audio_speech_actors_01-24/Actor_01/03-01-06-02-01-02-01.wav
fear,archive/audio_speech_actors_01-24/Actor_01/03-01-06-02-02-01-01.wav
fear,archive/audio_speech_actors_01-24/Actor_01/03-01-06-02-02-02-01.wav
disgust,archive/audio_speech_actors_01-24/Actor_01/03-01-07-01-01-02-01.wav
disgust,archive/audio_speech_actors_01-24/Actor_01/03-01-07-01-02-01-01.wav
disgust,archive/audio_speech_actors_01-24/Actor_01/03-01-07-01-02-02-01.wav
disgust,archive/audio_speech_actors_01-24/Actor_01/03-01-07-02-01-01-01.wav
disgust,archive/audio_speech_actors_01-24/Actor_01/03-01-07-02-01-02-01.wav
disgust,archive/audio_speech_actors_01-24/Actor_01/03-01-07-02-02-01-01.wav
disgust,archive/audio_speech_actors_01-24/Actor_01/03-01-07-02-02-02-01.wav
surprise,archive/audio_speech_actors_01-24/Actor_01/03-01-08-01-01-01-01.wav
surprise,archive/audio_speech_actors_01-24/Actor_01/03-01-08-01-01-02-01.wav
surprise,archive/audio_speech_actors_01-24/Actor_01/03-01-08-01-02-01-01.wav
surprise,archive/audio_speech_actors_01-24/Actor_01/03-01-08-01-02-02-01.wav
surprise,archive/audio_speech_actors_01-24/Actor_01/03-01-08-02-01-01-01.wav
surprise,archive/audio_speech_actors_01-24/Actor_01/03-01-08-02-01-02-01.wav
